id,systems,source,name_en,name_uk,text_en,text_uk,effects,size,creature_type,alignment,ac,hp,hp_formula,speed,str,dex,con,int,wis,cha,cr,senses,languages,skills
behir,5e,SRD 5.1,Behir,,"Actions.
Multiattack. The behir makes two attacks: one with its bite and one to constrict.
Bite. Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 22 (3d10 + 6) piercing damage.
Constrict. Melee Weapon Attack: +10 to hit, reach 5 ft., one Large or smaller creature. Hit: 17 (2d10 + 6) bludgeoning damage plus 17 (2d10 + 6) slashing damage. The target is grappled (escape DC 16) if the behir isn’t already constricting a creature, and the target is restrained until this grapple ends.
Lightning Breath (Recharge 5-6). The behir exhales a line of lightning that is 20 feet long and 5 feet wide. Each creature in that line must make a DC 16 Dexterity saving throw, taking 66 (12d10) lightning damage on a failed save, or half as much damage on a successful one.
Swallow. The behir makes one bite attack against a Medium or smaller target it is grappling. If the attack hits, the target is also swallowed, and the grapple ends. While swallowed, the target is blinded and restrained, it has total cover against attacks and other effects outside the behir, and it takes 21 (6d6) acid damage at the start of each of the behir’s turns. A behir can have only one creature swallowed at a time.  If the behir takes 30 damage or more on a single turn from the swallowed creature, the behir must succeed on a DC 14 Constitution saving throw at the end of that turn or regurgitate the creature, which falls prone in a space within 10 feet of the behir. If the behir dies, a swallowed creature is no longer restrained by it and can escape from the corpse by using 15 feet of movement, exiting prone.",,,huge,monstrosity,neutral evil,17,168,16d12 + 64,"50 ft., climb 40 ft.",23,16,18,7,14,12,11,"darkvision 90 ft., passive Perception 16",,"Perception +6, Stealth +7"
bugbear,5e,SRD 5.1,Bugbear,,"Brute. A melee weapon deals one extra die of its damage when the bugbear hits with it (included in the attack).
Surprise Attack. If the bugbear surprises a creature and hits it with an attack during the first round of combat, the target takes an extra 7 (2d6) damage from the attack.
Actions.
Morningstar. Melee Weapon Attack:+4 to hit, reach 5 ft., one target. Hit:11 (2d8 + 2) piercing damage.
Javelin. Melee or Ranged Weapon Attack:+4 to hit, reach 5 ft. or range 30/120 ft., one target. Hit:9 (2d6 + 2)piercing damage in melee or 5 (1d6 + 2) piercing damage at range.",,,medium,humanoid,chaotic evil,16,27,5d8 + 5,30 ft.,15,14,13,8,11,9,1,"darkvision 60 ft., passive Perception 10",,"Stealth +6, Survival +2"
bulette,5e,SRD 5.1,Bulette,,"Standing Leap. The bulette’s long jump is up to 30 feet and its high jump is up to 15 feet, with or without a running start.
Actions.
Bite. Melee Weapon Attack:+7 to hit, reach 5 ft., one target. Hit:30 (4d12 + 4) piercing damage.
Deadly Leap. If the bulette jumps at least 15 feet as part of its movement, it can then use this action to land on its feet in a space that contains one or more other creatures. Each of those creatures must succeed on a DC 16 Strength or Dexterity saving throw (target’s choice) or be knocked prone and take 14 (3d6 + 4) bludgeoning damage plus 14 (3d6 + 4) slashing damage. On a successful save, the creature takes only half the damage, isn’t knocked prone, and is pushed 5 feet out of the bulette’s space into an unoccupied space of the creature’s choice. If no unoccupied space is within range, the creature instead falls prone in the bulette’s space.",,,large,monstrosity,unaligned,17,94,9d10 + 45,"40 ft., burrow 40 ft.",19,11,21,2,10,5,5,"darkvision 60 ft., tremorsense 60 ft., passive Perception 16",,Perception +6
centaur,5e,SRD 5.1,Centaur,,"Charge. If the centaur moves at least 30 feet straight toward a target and then hits it with a pike attack on the same turn, the target takes an extra 10 (3d6) piercing damage.
Actions.
Multiattack. The centaur makes two attacks: one with its pike and one with its hooves or two with its longbow.
Pike. Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: 9 (1d10 + 4) piercing damage.
Hooves. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) bludgeoning damage.
Longbow. Ranged Weapon Attack: +4 to hit, range 150/600 ft., one target. Hit: 6 (1d8 + 2) piercing damage.",,,large,monstrosity,neutral good,12,45,6d10 + 12,50 ft.,18,14,14,9,13,11,2,passive Perception 13,,"Athletics +6, Perception +3, Survival +3"
chimera,5e,SRD 5.1,Chimera,,"Actions.
Multiattack. The chimera makes three attacks: one with its bite, one with its horns, and one with its claws. When its fire breath is available, it can use the breath in place of its bite or horns.
Bite. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit:11 (2d6 + 4) piercing damage.
Horns. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit:10 (1d12 + 4) bludgeoning damage.
Claws. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) slashing damage.
Fire Breath (Recharge 5-6). The dragon head exhales fire in a 15--foot cone. Each creature in that area must make a DC 15 Dexterity saving throw, taking 31 (7d8) fire damage on a failed save, or half as much damage on a successful one.",,,large,monstrosity,chaotic evil,14,114,12d10 + 48,"30 ft., fly 60 ft.",19,11,19,3,14,10,6,"darkvision 60 ft., passive Perception 18",,Perception +8
chuul,5e,SRD 5.1,Chuul,,"Amphibious. The chuul can breathe air and water.
Sense Magic. The chuul senses magic within 120 feet of it at will. This trait otherwise works like the detect magic spell but isn’t itself magical.
Actions.
Multiattack. The chuul makes two pincer attacks. If the chuul is grappling a creature, the chuul can also use its tentacles once.
Pincer. Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: 11 (2d6 + 4) bludgeoning damage. The target is grappled (escape DC 14) if it is a Large or smaller creature and the chuul doesn’t have two other creatures grappled.
Tentacles. One creature grappled by the chuul must succeed on a DC 13 Constitution saving throw or be poisoned for 1 minute. Until this poison ends, the target is paralyzed. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.",,,large,aberration,chaotic evil,16,93,11d10 + 33,"30 ft., swim 30 ft.",19,10,16,5,11,5,4,"darkvision 60 ft., passive Perception 14",,Perception +4
cloaker,5e,SRD 5.1,Cloaker,,"Damage Transfer. While attached to a creature, the cloaker takes only half the damage dealt to it (rounded down), and that creature takes the other half.
False Appearance. While the cloaker remains motionless without its underside exposed, it is indistinguishable from a dark leather cloak.
Light Sensitivity. While in bright light, the cloaker has disadvantage on attack rolls and Wisdom (Perception) checks that rely on sight.
Actions.
Multiattack. The cloaker makes two attacks: one with its bite and one with its tail.
Bite. Melee Weapon Attack:+6 to hit, reach 5 ft., one creature. Hit:10 (2d6 + 3) piercing damage, and if the target is Large or smaller, the cloaker attaches to it. If the cloaker has advantage against the target, the cloaker attaches to the target’s head, and the target is blinded and unable to breathe while the cloaker is attached. While attached, the cloaker can make this attack only against the target and has advantage on the attack roll. The cloaker can detach itself by spending 5 feet of its movement. A creature, including the target, can take its action to detach the cloaker by succeeding on a DC 16 Strength check.
Tail. Melee Weapon Attack:+6 to hit, reach 10 ft., one creature. Hit:7 (1d8 + 3) slashing damage.
Moan. Each creature within 60 feet of the cloaker that can hear its moan and that isn’t an aberration must succeed on a DC 13 Wisdom saving throw or become frightened until the end of the cloaker’s next turn. If a creature’s saving throw is successful, the creature is immune to the cloaker’s moan for the next 24 hours
Phantasms (Recharges after a Short or Long Rest). The cloaker magically creates three illusory duplicates of itself if it isn’t in bright light. The duplicates move with it and mimic its actions, shifting position so as to make it impossible to track which cloaker is the real one. If the cloaker is ever in an area of bright light, the duplicates disappear. Whenever any creature targets the cloaker with an attack or a harmful spell while a duplicate remains, that creature rolls randomly to determine whether it targets the cloaker or one of the duplicates. A creature is unaffected by this magical effect if it can’t see or if it relies on senses other than sight. A duplicate has the cloaker’s AC and uses its saving throws. If an attack hits a duplicate, or if a duplicate fails a saving throw against an effect that deals damage, the duplicate disappears.",,,large,aberration,chaotic neutral,14,78,12d10 + 12,"10 ft., fly 40 ft.",17,15,12,13,12,14,8,"darkvision 60 ft., passive Perception 11",,Stealth +5
cockatrice,5e,SRD 5.1,Cockatrice,,"Actions.
Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one creature. Hit: 3 (1d4 + 1) piercing damage, and the target must succeed on a DC 11 Constitution saving throw against being magically petrified. On a failed save, the creature begins to turn to stone and is restrained. It must repeat the saving throw at the end of its next turn. On a success, the effect ends. On a failure, the creature is petrified for 24 hours.",,,small,monstrosity,unaligned,11,27,6d6 + 6,"20 ft., fly 40 ft.",6,12,12,2,13,5,1/2,"darkvision 60 ft., passive Perception 11",,
couatl,5e,SRD 5.1,Couatl,,"Innate Spellcasting. The couatl’s spellcasting ability is Charisma (spell save DC 14). It can innately cast the following spells, requiring only verbal components: At will: detect evil and good, detect magic, detect thoughts3/day each: bless, create food and water, cure wounds, lesser restoration, protection from poison, sanctuary, shield1/day each: dream, greater restoration, scrying
Magic Weapons. The couatl’s weapon attacks are magical.
Shielded Mind. The couatl is immune to scrying and to any effect that would sense its emotions, read its thoughts, or detect its location.
Actions.
Bite. Melee Weapon Attack:+8 to hit, reach 5 ft., one creature. Hit:8 (1d6 + 5) piercing damage, and the target must succeed on a DC 13 Constitution saving throw or be poisoned for 24 hours. Until this poison ends, the target is unconscious. Another creature can use an action to shake the target awake.
Constrict. Melee Weapon Attack:+6 to hit, reach 10 ft., one Medium or smaller creature. Hit:10 (2d6 + 3) bludgeoning damage, and the target is grappled (escape DC 15). Until this grapple ends, the target is restrained, and the couatl can’t constrict another target.
Change Shape. The couatl magically polymorphs into a humanoid or beast that has a challenge rating equal to or less than its own, or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the couatl’s choice). In a new form, the couatl retains its game statistics and ability to speak, but its AC, movement modes, Strength, Dexterity, and other actions are replaced by those of the new form, and it gains any statistics and capabilities (except class features, legendary actions, and lair actions) that the new form has but that it lacks. If the new form has a bite attack, the couatl can use its bite in that form.",,,medium,celestial,lawful good,19,97,13d8 + 39,"30 ft., fly 90 ft.",16,20,17,18,20,18,4,"truesight 120 ft., passive Perception 15",,
darkmantle,5e,SRD 5.1,Darkmantle,,"Echolocation. The darkmantle can’t use its blindsight while deafened.
False Appearance. While the darkmantle remains motionless, it is indistinguishable from a cave formation such as a stalactite or stalagmite.
Actions.
Crush. Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 6 (1d6 + 3) bludgeoning damage, and the darkmantle attaches to the target. If the target is Medium or smaller and the darkmantle has advantage on the attack roll, it attaches by engulfing the target’s head, and the target is also blinded and unable to breathe while the darkmantle is attached in this way.  While attached to the target, the darkmantle can attack no other creature except the target but has advantage on its attack rolls. The darkmantle’s speed also becomes 0, it can’t benefit from any bonus to its speed, and it moves with the target.  A creature can detach the darkmantle by making a successful DC 13 Strength check as an action. On its turn, the darkmantle can detach itself from the target by using 5 feet of movement.
Darkness Aura (1/Day). A 15--foot radius of magical darkness extends out from the darkmantle, moves with it, and spreads around corners. The darkness lasts as long as the darkmantle maintains concentration, up to 10 minutes (as if concentrating on a spell). Darkvision can’t penetrate this darkness, and no natural light can illuminate it. If any of the darkness overlaps with an area of light created by a spell of 2nd level or lower, the spell creating the light is dispelled.",,,small,monstrosity,unaligned,11,22,5d6 + 5,"10 ft., fly 30 ft.",16,12,13,2,10,5,1/2,"blindsight 60 ft., passive Perception 10",,Stealth +3
balor,5e,SRD 5.1,Balor,,"Death Throes. When the balor dies, it explodes, and each creature within 30 feet of it must make a DC 20 Dexterity saving throw, taking 70 (20d6) fire damage on a failed save, or half as much damage on a successful one. The explosion ignites flammable objects in that area that aren’t being worn or carried, and it destroys the balor’s weapons.
Fire Aura. At the start of each of the balor’s turns, each creature within 5 feet of it takes 10 (3d6) fire damage, and flammable objects in the aura that aren’t being worn or carried ignite. A creature that touches the balor or hits it with a melee attack while within 5 feet of it takes 10 (3d6) fire damage.
Magic Resistance. The balor has advantage on saving throws against spells and other magical effects.
Magic Weapons. The balor’s weapon attacks are magical.
Actions.
Multiattack. The balor makes two attacks: one with its longsword and one with its whip.
Longsword. Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit:21 (3d8 + 8) slashing damage plus 13 (3d8) lightning damage. If the balor scores a critical hit, it rolls damage dice three times, instead of twice.
Whip. Melee Weapon Attack: +14 to hit, reach 30 ft., one target. Hit:15 (2d6 + 8) slashing damage plus 10 (3d6) fire damage, and the target must succeed on a DC 20 Strength saving throw or be pulled up to 25 feet toward the balor.
Teleport. The balor magically teleports, along with any equipment it is wearing or carrying, up to 120 feet to an unoccupied space it can see.",,,huge,fiend,chaotic evil,19,262,21d12 + 126,"40 ft., fly 80 ft.",26,15,22,20,16,22,19,"truesight 120 ft., passive Perception 13",,
dretch,5e,SRD 5.1,Dretch,,"Actions.
Multiattack. The dretch makes two attacks: one with its bite and one with its claws.
Bite. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 3 (1d6) piercing damage.
Claws. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 5 (2d4) slashing damage.
Fetid Cloud (1/Day). A 10--foot radius of disgusting green gas extends out from the dretch. The gas spreads around corners, and its area is lightly obscured. It lasts for 1 minute or until a strong wind disperses it. Any creature that starts its turn in that area must succeed on a DC 11 Constitution saving throw or be poisoned until the start of its next turn. While poisoned in this way, the target can take either an action or a bonus action on its turn, not both, and can’t take reactions.",,,small,fiend,chaotic evil,11,18,4d6 + 4,20 ft.,11,11,12,5,8,3,1/4,"darkvision 60 ft., passive Perception 9",,
glabrezu,5e,SRD 5.1,Glabrezu,,"Innate Spellcasting. The glabrezu’s spellcasting ability is Intelligence (spell save DC 16). The glabrezu can innately cast the following spells, requiring no material components: At will: darkness, detect magic, dispel magic 1/day each: confusion, fly, power word stun
Magic Resistance. The glabrezu has advantage on saving throws against spells and other magical effects.
Actions.
Multiattack. The glabrezu makes four attacks: two with its pincers and two with its fists. Alternatively, it makes two attacks with its pincers and casts one spell.
Pincer. Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit:16 (2d10 + 5) bludgeoning damage. If the target is a Medium or smaller creature, it is grappled (escape DC 15). The glabrezu has two pincers, each of which can grapple only one target.
Fist. Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 7 (2d4 + 2) bludgeoning damage.",,,large,fiend,chaotic evil,17,157,15d10 + 75,40 ft.,20,15,21,19,17,16,9,"truesight 120 ft., passive Perception 13",,
hezrou,5e,SRD 5.1,Hezrou,,"Magic Resistance. The hezrou has advantage on saving throws against spells and other magical effects.
Stench. Any creature that starts its turn within 10 feet of the hezrou must succeed on a DC 14 Constitution saving throw or be poisoned until the start of its next turn. On a successful saving throw, the creature is immune to the hezrou’s stench for 24 hours.
Multiattack. The hezrou makes three attacks: one with its bite and two with its claws.
Bite. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 15 (2d10 + 4) piercing damage.
Claw. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) slashing damage.",,,large,fiend,chaotic evil,16,136,13d10 + 65,30 ft.,19,17,20,5,12,13,8,"darkvision 120 ft., passive Perception 11",,
marilith,5e,SRD 5.1,Marilith,,"Magic Resistance. The marilith has advantage on saving throws against spells and other magical effects.
Magic Weapons. The marilith’s weapon attacks are magical.
Reactive. The marilith can take one reaction on every turn in a combat.
Actions.
Multiattack. The marilith makes seven attacks: six with its longswords and one with its tail.
Longsword. Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 13 (2d8 + 4) slashing damage.
Tail. Melee Weapon Attack: +9 to hit, reach 10 ft., one creature. Hit: 15 (2d10 + 4) bludgeoning damage. If the target is Medium or smaller, it is grappled (escape DC 19). Until this grapple ends, the target is restrained, the marilith can automatically hit the target with its tail, and the marilith can’t make tail attacks against other targets.
Teleport. The marilith magically teleports, along with any equipment it is wearing or carrying, up to 120 feet to an unoccupied space it can see.
Parry. The marilith adds 5 to its AC against one melee attack that would hit it. To do so, the marilith must see the attacker and be wielding a melee weapon.",,,large,fiend,chaotic evil,18,189,18d10 + 90,40 ft.,18,20,20,18,16,20,16,"truesight 120 ft., passive Perception 13",,
