id,systems,source,name_en,name_uk,text_en,text_uk,effects,class_id,level,resource
barbarian-feral-instinct,5.5e,SRD,Feral Instinct,,Your instincts are so honed that you have Advantage on Initiative rolls.,,,barbarian,7,
barbarian-instinctive-pounce,5.5e,SRD,Instinctive Pounce,,"As part of the Bonus Action you take to enter your Rage, you can move up to half your Speed.",,,barbarian,7,
barbarian-brutal-strike,5.5e,SRD,Brutal Strike,,"If you use Reckless Attack, you can forgo any Advantage on one Strength-based attack roll of your choice on your turn. The chosen attack roll mustn't have Disadvantage. If the chosen attack roll hits, the target takes an extra 1d10 damage of the same type dealt by the weapon or Unarmed Strike, and you can cause one Brutal Strike effect of your choice. You have the following effect options.
_Forceful Blow._ The target is pushed 15 feet straight away from you. You can then move up to half your Speed straight toward the target without provoking Opportunity Attacks.
_Hamstring Blow._ The target's Speed is reduced by 15 feet until the start of your next turn. A target can be affected by only one Hamstring Blow at a time—the most recent one.",,,barbarian,9,
barbarian-relentless-rage,5.5e,SRD,Relentless Rage,,"Your Rage can keep you fighting despite grievous wounds. If you drop to 0 Hit Points while your Rage is active and don't die outright, you can make a DC 10 Constitution saving throw. If you succeed, your Hit Points instead change to a number equal to twice your Barbarian level.
Each time you use this feature after the first, the DC increases by 5. When you finish a Short or Long Rest, the DC resets to 10.",,,barbarian,11,
barbarian-improved-brutal-strike,5.5e,SRD,Improved Brutal Strike,,"You have honed new ways to attack furiously. The following effects are now among your Brutal Strike options.
_Staggering Blow._ The target has Disadvantage on the next saving throw it makes, and it can't make Opportunity Attacks until the start of your next turn.
_Sundering Blow._ Before the start of your next turn, the next attack roll made by another creature against the target gains a +5 bonus to the roll. An attack roll can gain only one Sundering Blow bonus.",,,barbarian,13,
barbarian-persistent-rage,5.5e,SRD,Persistent Rage,,"When you roll Initiative, you can regain all expended uses of Rage. After you regain uses of Rage in this way, you can't do so again until you finish a Long Rest.
In addition, your Rage is so fierce that it now lasts for 10 minutes without you needing to do anything to extend it from round to round. Your Rage ends early if you have the Unconscious condition (not just the Incapacitated condition) or don Heavy armor.",,,barbarian,15,
barbarian-improved-brutal-strike-2,5.5e,SRD,Improved Brutal Strike,,"The extra damage of your Brutal Strike increases to 2d10. In addition, you can use two different Brutal Strike effects whenever you use your Brutal Strike feature.",,,barbarian,17,
barbarian-indomitable-might,5.5e,SRD,Indomitable Might,,"If your total for a Strength check or Strength saving throw is less than your Strength score, you can use that score in place of the total.",,,barbarian,18,
barbarian-epic-boon,5.5e,SRD,Epic Boon,,"You gain an Epic Boon feat (see ""Feats"") or another feat of your choice for which you qualify. Boon of Irresistible Offense is recommended.",,,barbarian,19,
barbarian-primal-champion,5.5e,SRD,Primal Champion,,"You embody primal power. Your Strength and Constitution scores increase by 4, to a maximum of 25.",,,barbarian,20,
bard-bardic-inspiration,5.5e,SRD,Bardic Inspiration,,"You can supernaturally inspire others through words, music, or dance. This inspiration is represented by your Bardic Inspiration die, which is a d6.
_Using Bardic Inspiration._ As a Bonus Action, you can inspire another creature within 60 feet of yourself who can see or hear you. That creature gains one of your Bardic Inspiration dice. A creature can have only one Bardic Inspiration die at a time.
Once within the next hour when the creature fails a D20 Test, the creature can roll the Bardic Inspiration die and add the number rolled to the d20, potentially turning the failure into a success. A Bardic Inspiration die is expended when it's rolled.
_Number of Uses._ You can confer a Bardic Inspiration die a number of times equal to your Charisma modifier (minimum of once), and you regain all expended uses when you finish a Long Rest.
_At Higher Levels._ Your Bardic Inspiration die changes when you reach certain Bard levels, as shown in the Bardic Die column of the Bard Features table. The die becomes a d8 at level 5, a d10 at level 10, and a d12 at level 15.",,,bard,1,
bard-spellcasting,5.5e,SRD,Spellcasting,,"You have learned to cast spells through your bardic arts. See ""Spells"" for the rules on spellcasting. The information below details how you use those rules with Bard spells, which appear in the Bard spell list later in the class's description.
_Cantrips._ You know two cantrips of your choice from the Bard spell list. _Dancing Lights_ and _Vicious Mockery_ are recommended.
Whenever you gain a Bard level, you can replace one of your cantrips with another cantrip of your choice from the Bard spell list.
When you reach Bard levels 4 and 10, you learn another cantrip of your choice from the Bard spell list, as shown in the Cantrips column of the Bard Features table.
_Spell Slots._ The Bard Features table shows how many spell slots you have to cast your level 1+ spells. You regain all expended slots when you finish a Long Rest.
_Prepared Spells of Level 1+._ You prepare the list of level 1+ spells that are available for you to cast with this feature. To start, choose four level 1 spells from the Bard spell list. _Charm Person_, _Color Spray_, _Dissonant Whispers_, and _Healing Word_ are recommended.
The number of spells on your list increases as you gain Bard levels, as shown in the Prepared Spells column of the Bard Features table. Whenever that number increases, choose additional spells from the Bard spell list until the number of spells on your list matches the number on the table. The chosen spells must be of a level for which you have spell slots. For example, if you're a level 3 Bard, your list of prepared spells can include six spells of levels 1 and 2 in any combination.
If another Bard feature gives you spells that you always have prepared, those spells don't count against the number of spells you can prepare with this feature, but those spells otherwise count as Bard spells for you.
_Changing Your Prepared Spells._ Whenever you gain a Bard level, you can replace one spell on your list with another Bard spell for which you have spell slots.
_Spellcasting Ability._ Charisma is your spellcasting ability for your Bard spells.
_Spellcasting Focus._ You can use a Musical Instrument as a Spellcasting Focus for your Bard spells.",,,bard,1,
bard-expertise,5.5e,SRD,Expertise,,"You gain Expertise (see ""Rules Glossary"") in two of your skill proficiencies of your choice. Performance and Persuasion are recommended if you have proficiency in them.
At Bard level 9, you gain Expertise in two more of your skill proficiencies of your choice.",,,bard,2,
bard-jack-of-all-trades,5.5e,SRD,Jack of All Trades,,"You can add half your Proficiency Bonus (round down) to any ability check you make that uses a skill proficiency you lack and that doesn't otherwise use your Proficiency Bonus.
For example, if you make a Strength (Athletics) check and lack Athletics proficiency, you can add half your Proficiency Bonus to the check.",,,bard,2,
bard-bard-subclass,5.5e,SRD,Bard Subclass,,"You gain a Bard subclass of your choice. The College of Lore subclass is detailed after this class's description. A subclass is a specialization that grants you features at certain Bard levels. For the rest of your career, you gain each of your subclass's features that are of your Bard level or lower.",,,bard,3,
bard-ability-score-improvement,5.5e,SRD,Ability Score Improvement,,"You gain the Ability Score Improvement feat (see ""Feats"") or another feat of your choice for which you qualify. You gain this feature again at Bard levels 8, 12, and 16.",,,bard,4,
bard-font-of-inspiration,5.5e,SRD,Font of Inspiration,,"You now regain all your expended uses of Bardic Inspiration when you finish a Short or Long Rest.
In addition, you can expend a spell slot (no action required) to regain one expended use of Bardic Inspiration.",,,bard,5,
bard-countercharm,5.5e,SRD,Countercharm,,"You can use musical notes or words of power to disrupt mind-influencing effects. If you or a creature within 30 feet of you fails a saving throw against an effect that applies the Charmed or Frightened condition, you can take a Reaction to cause the save to be rerolled, and the new roll has Advantage.",,,bard,7,
bard-magical-secrets,5.5e,SRD,Magical Secrets,,"You've learned secrets from various magical traditions. Whenever you reach a Bard level (including this level) and the Prepared Spells number in the Bard Features table increases, you can choose any of your new prepared spells from the Bard, Cleric, Druid, and Wizard spell lists, and the chosen spells count as Bard spells for you (see a class's section for its spell list). In addition, whenever you replace a spell prepared for this class, you can replace it with a spell from those lists.",,,bard,10,
bard-superior-inspiration,5.5e,SRD,Superior Inspiration,,"When you roll Initiative, you regain expended uses of Bardic Inspiration until you have two if you have fewer than that.",,,bard,18,
bard-epic-boon,5.5e,SRD,Epic Boon,,"You gain an Epic Boon feat (see ""Feats"") or another feat of your choice for which you qualify. Boon of Spell Recall is recommended.",,,bard,19,
bard-words-of-creation,5.5e,SRD,Words of Creation,,"You have mastered two of the Words of Creation: the words of life and death. You therefore always have the _Power Word Heal_ and _Power Word Kill_ spells prepared. When you cast either spell, you can target a second creature with it if that creature is within 10 feet of the first target.",,,bard,20,
cleric-spellcasting,5.5e,SRD,Spellcasting,,"You have learned to cast spells through prayer and meditation. See ""Spells"" for the rules on spellcasting. The information below details how you use those rules with Cleric spells, which appear on the Cleric spell list later in the class's description.
_Cantrips._ You know three cantrips of your choice from the Cleric spell list. _Guidance_, _Sacred Flame_, and _Thaumaturgy_ are recommended.
Whenever you gain a Cleric level, you can replace one of your cantrips with another cantrip of your choice from the Cleric spell list.
When you reach Cleric levels 4 and 10, you learn another cantrip of your choice from the Cleric spell list, as shown in the Cantrips column of the Cleric Features table.
_Spell Slots._ The Cleric Features table shows how many spell slots you have to cast your level 1+ spells. You regain all expended slots when you finish a Long Rest.
_Prepared Spells of Level 1+._ You prepare the list of level 1+ spells that are available for you to cast with this feature. To start, choose four level 1 spells from the Cleric spell list. _Bless_, _Cure Wounds_, _Guiding Bolt_, and _Shield of Faith_ are recommended.
The number of spells on your list increases as you gain Cleric levels, as shown in the Prepared Spells column of the Cleric Features table. Whenever that number increases, choose additional spells from the Cleric spell list until the number of spells on your list matches the number on the table. The chosen spells must be of a level for which you have spell slots. For example, if you're a level 3 Cleric, your list of prepared spells can include six spells of levels 1 and 2 in any combination.
If another Cleric feature gives you spells that you always have prepared, those spells don't count against the number of spells you can prepare with this feature, but those spells otherwise count as Cleric spells for you.
_Changing Your Prepared Spells._ Whenever you finish a Long Rest, you can change your list of prepared spells, replacing any of the spells there with other Cleric spells for which you have spell slots.
_Spellcasting Ability._ Wisdom is your spellcasting ability for your Cleric spells.
_Spellcasting Focus._ You can use a Holy Symbol as a Spellcasting Focus for your Cleric spells.",,,cleric,1,
cleric-divine-order,5.5e,SRD,Divine Order,,"You have dedicated yourself to one of the following sacred roles of your choice.
_Protector._ Trained for battle, you gain proficiency with Martial weapons and training with Heavy armor.
_Thaumaturge._ You know one extra cantrip from the Cleric spell list. In addition, your mystical connection to the divine gives you a bonus to your Intelligence (Arcana or Religion) checks. The bonus equals your Wisdom modifier (minimum of +1).",,,cleric,1,
cleric-channel-divinity,5.5e,SRD,Channel Divinity,,"You can channel divine energy directly from the Outer Planes to fuel magical effects. You start with two such effects: Divine Spark and Turn Undead, each of which is described below. Each time you use this class's Channel Divinity, choose which Channel Divinity effect from this class to create. You gain additional effect options at higher Cleric levels.
You can use this class's Channel Divinity twice. You regain one of its expended uses when you finish a Short Rest, and you regain all expended uses when you finish a Long Rest. You gain additional uses when you reach certain Cleric levels, as shown in the Channel Divinity column of the Cleric Features table.
If a Channel Divinity effect requires a saving throw, the DC equals the spell save DC from this class's Spellcasting feature.
_Divine Spark._ As a Magic action, you point your Holy Symbol at another creature you can see within 30 feet of yourself and focus divine energy at it. Roll 1d8 and add your Wisdom modifier. You either restore Hit Points to the creature equal to that total or force the creature to make a Constitution saving throw. On a failed save, the creature takes Necrotic or Radiant damage (your choice) equal to that total. On a successful save, the creature takes half as much damage (round down).
You roll an additional d8 when you reach Cleric levels 7 (2d8), 13 (3d8), and 18 (4d8).
_Turn Undead._ As a Magic action, you present your Holy Symbol and censure Undead creatures. Each Undead of your choice within 30 feet of you must make a Wisdom saving throw. If the creature fails its save, it has the Frightened and Incapacitated conditions for 1 minute. For that duration, it tries to move as far from you as it can on its turns. This effect ends early on the creature if it takes any damage, if you have the Incapacitated condition, or if you die.",,,cleric,2,
cleric-cleric-subclass,5.5e,SRD,Cleric Subclass,,"You gain a Cleric subclass of your choice. The Life Domain subclass is detailed after this class's description. A subclass is a specialization that grants you features at certain Cleric levels. For the rest of your career, you gain each of your subclass's features that are of your Cleric level or lower.",,,cleric,3,
cleric-ability-score-improvement,5.5e,SRD,Ability Score Improvement,,"You gain the Ability Score Improvement feat (see ""Feats"") or another feat of your choice for which you qualify. You gain this feature again at Cleric levels 8, 12, and 16.",,,cleric,4,
cleric-sear-undead,5.5e,SRD,Sear Undead,,"Whenever you use Turn Undead, you can roll a number of d8s equal to your Wisdom modifier (minimum of 1d8) and add the rolls together. Each Undead that fails its saving throw against that use of Turn Undead takes Radiant damage equal to the roll's total. This damage doesn't end the turn effect.",,,cleric,5,
cleric-blessed-strikes,5.5e,SRD,Blessed Strikes,,"Divine power infuses you in battle. You gain one of the following options of your choice (if you get either option from a Cleric subclass in an older book, use only the option you choose for this feature).
_Divine Strike._ Once on each of your turns when you hit a creature with an attack roll using a weapon, you can cause the target to take an extra 1d8 Necrotic or Radiant damage (your choice).
_Potent Spellcasting._ Add your Wisdom modifier to the damage you deal with any Cleric cantrip.",,,cleric,7,
cleric-divine-intervention,5.5e,SRD,Divine Intervention,,"You can call on your deity or pantheon to intervene on your behalf. As a Magic action, choose any Cleric spell of level 5 or lower that doesn't require a Reaction to cast. As part of the same action, you cast that spell without expending a spell slot or needing Material components. You can't use this feature again until you finish a Long Rest.",,,cleric,10,
cleric-improved-blessed-strikes,5.5e,SRD,Improved Blessed Strikes,,"The option you chose for Blessed Strikes grows more powerful.
_Divine Strike._ The extra damage of your Divine Strike increases to 2d8.
_Potent Spellcasting._ When you cast a Cleric cantrip and deal damage to a creature with it, you can give vitality to yourself or another creature within 60 feet of yourself, granting a number of Temporary Hit Points equal to twice your Wisdom modifier.",,,cleric,14,
cleric-epic-boon,5.5e,SRD,Epic Boon,,"You gain an Epic Boon feat (see ""Feats"") or another feat of your choice for which you qualify. Boon of Fate is recommended.",,,cleric,19,
cleric-greater-divine-intervention,5.5e,SRD,Greater Divine Intervention,,"You can call on even more powerful divine intervention. When you use your Divine Intervention feature, you can choose _Wish_ when you select a spell. If you do so, you can't use Divine Intervention again until you finish 2d4 Long Rests.",,,cleric,20,
druid-spellcasting,5.5e,SRD,Spellcasting,,"You have learned to cast spells through studying the mystical forces of nature. See ""Spells"" for the rules on spellcasting. The information below details how you use those rules with Druid spells, which appear on the Druid spell list later in the class's description.
_Cantrips._ You know two cantrips of your choice from the Druid spell list. _Druidcraft_ and _Produce Flame_ are recommended.
Whenever you gain a Druid level, you can replace one of your cantrips with another cantrip of your choice from the Druid spell list.
When you reach Druid levels 4 and 10, you learn another cantrip of your choice from the Druid spell list, as shown in the Cantrips column of the Druid Features table.
_Spell Slots._ The Druid Features table shows how many spell slots you have to cast your level 1+ spells. You regain all expended slots when you finish a Long Rest.
_Prepared Spells of Level 1+._ You prepare the list of level 1+ spells that are available for you to cast with this feature. To start, choose four level 1 spells from the Druid spell list. _Animal Friendship, Cure Wounds, Faerie Fire,_ and _Thunderwave_ are recommended.
The number of spells on your list increases as you gain Druid levels, as shown in the Prepared Spells column of the Druid Features table. Whenever that number increases, choose additional spells from the Druid spell list until the number of spells on your list matches the number on the table. The chosen spells must be of a level for which you have spell slots. For example, if you're a level 3 Druid, your list of prepared spells can include six spells of levels 1 and 2 in any combination.
If another Druid feature gives you spells that you always have prepared, those spells don't count against the number of spells you can prepare with this feature, but those spells otherwise count as Druid spells for you.
_Changing Your Prepared Spells._ Whenever you finish a Long Rest, you can change your list of prepared spells, replacing any of the spells with other Druid spells for which you have spell slots.
_Spellcasting Ability._ Wisdom is your spellcasting ability for your Druid spells.
_Spellcasting Focus._ You can use a Druidic Focus as a Spellcasting Focus for your Druid spells.",,,druid,1,
druid-druidic,5.5e,SRD,Druidic,,"You know Druidic, the secret language of Druids. While learning this ancient tongue, you also unlocked the magic of communicating with animals; you always have the _Speak with Animals_ spell prepared.
You can use Druidic to leave hidden messages. You and others who know Druidic automatically spot such a message. Others spot the message's presence with a successful DC 15 Intelligence (Investigation) check but can't decipher it without magic.",,,druid,1,
druid-primal-order,5.5e,SRD,Primal Order,,"You have dedicated yourself to one of the following sacred roles of your choice.
_Magician._ You know one extra cantrip from the Druid spell list. In addition, your mystical connection to nature gives you a bonus to your Intelligence (Arcana or Nature) checks. The bonus equals your Wisdom modifier (minimum bonus of +1).
_Warden._ Trained for battle, you gain proficiency with Martial weapons and training with Medium armor.",,,druid,1,
druid-wild-shape,5.5e,SRD,Wild Shape,,"The power of nature allows you to assume the form of an animal. As a Bonus Action, you shape-shift into a Beast form that you have learned for this feature (see ""Known Forms"" below). You stay in that form for a number of hours equal to half your Druid level or until you use Wild Shape again, have the Incapacitated condition, or die. You can also leave the form early as a Bonus Action.
_Number of Uses._ You can use Wild Shape twice. You regain one expended use when you finish a Short Rest, and you regain all expended uses when you finish a Long Rest.
You gain additional uses when you reach certain Druid levels, as shown in the Wild Shape column of the Druid Features table.
_Known Forms._ You know four Beast forms for this feature, chosen from among Beast stat blocks that have a maximum Challenge Rating of 1/4 and that lack a Fly Speed (see ""Animals"" in ""Monsters"" for stat block options). The **Rat**, **Riding Horse**, **Spider**, and **Wolf** are recommended. Whenever you finish a Long Rest, you can replace one of your known forms with another eligible form.
When you reach certain Druid levels, your number of known forms and the maximum Challenge Rating for those forms increases, as shown in the Beast Shapes table. In addition, starting at level 8, you can adopt a form that has a Fly Speed.
When choosing known forms, you may look in other sources for eligible Beasts if the Game Master permits you to do so.
**Beast Shapes**
<table>
<thead>
<tr>
<th>Druid Level</th>
<th>Known Forms</th>
<th>Max CR</th>
<th>Fly Speed</th>
</tr>
</thead>
<tbody>
<tr>
<td>2</td>
<td>4</td>
<td>1/4</td>
<td>No</td>
</tr>
<tr>
<td>4</td>
<td>6</td>
<td>1/2</td>
<td>No</td>
</tr>
<tr>
<td>8</td>
<td>8</td>
<td>1</td>
<td>Yes</td>
</tr>
</tbody>
</table>
**Rules While Shape-Shifted.** While in a form, you retain your personality, memories, and ability to speak, and the following rules apply:
**Temporary Hit Points.** When you assume a Wild Shape form, you gain a number of Temporary Hit Points equal to your Druid level.
**Game Statistics.** Your game statistics are replaced by the Beast's stat block, but you retain your creature type; Hit Points; Hit Point Dice; Intelligence, Wisdom, and Charisma scores; class features; languages; and feats. You also retain your skill and saving throw proficiencies and use your Proficiency Bonus for them, in addition to gaining the proficiencies of the creature. If a skill or saving throw modifier in the Beast's stat block is higher than yours, use the one in the stat block.
**No Spellcasting.** You can't cast spells, but shapeshifting doesn't break your Concentration or otherwise interfere with a spell you've already cast.
**Objects.** Your ability to handle objects is determined by the form's limbs rather than your own. In addition, you choose whether your equipment falls in your space, merges into your new form, or is worn by it. Worn equipment functions as normal, but the GM decides whether it's practical for the new form to wear a piece of equipment based on the creature's size and shape. Your equipment doesn't change size or shape to match the new form, and any equipment that the new form can't wear must either fall to the ground or merge with the form. Equipment that merges with the form has no effect while you're in that form.",,,druid,2,
druid-wild-companion,5.5e,SRD,Wild Companion,,"You can summon a nature spirit that assumes an animal form to aid you. As a Magic action, you can expend a spell slot or a use of Wild Shape to cast the _Find Familiar_ spell without Material components.
When you cast the spell in this way, the familiar is Fey and disappears when you finish a Long Rest.",,,druid,2,
druid-druid-subclass,5.5e,SRD,Druid Subclass,,"You gain a Druid subclass of your choice. The Circle of the Land subclass is detailed after this class's description. A subclass is a specialization that grants you features at certain Druid levels. For the rest of your career, you gain each of your subclass's features that are of your Druid level or lower.",,,druid,3,
druid-ability-score-improvement,5.5e,SRD,Ability Score Improvement,,"You gain the Ability Score Improvement feat (see ""Feats"") or another feat of your choice for which you qualify. You gain this feature again at Druid levels 8, 12, and 16.",,,druid,4,
druid-wild-resurgence,5.5e,SRD,Wild Resurgence,,"Once on each of your turns, if you have no uses of Wild Shape left, you can give yourself one use by expending a spell slot (no action required).
In addition, you can expend one use of Wild Shape (no action required) to give yourself a level 1 spell slot, but you can't do so again until you finish a Long Rest.",,,druid,5,
druid-elemental-fury,5.5e,SRD,Elemental Fury,,"The might of the elements flows through you. You gain one of the following options of your choice.
_Potent Spellcasting._ Add your Wisdom modifier to the damage you deal with any Druid cantrip.
_Primal Strike._ Once on each of your turns when you hit a creature with an attack roll using a weapon or a Beast form's attack in Wild Shape, you can cause the target to take an extra 1d8 Cold, Fire, Lightning, or Thunder damage (choose when you hit).",,,druid,7,
druid-improved-elemental-fury,5.5e,SRD,Improved Elemental Fury,,"The option you chose for Elemental Fury grows more powerful, as detailed below.
_Potent Spellcasting._ When you cast a Druid cantrip with a range of 10 feet or greater, the spell's range increases by 300 feet.
_Primal Strike._ The extra damage of your Primal Strike increases to 2d8.",,,druid,15,
druid-beast-spells,5.5e,SRD,Beast Spells,,"While using Wild Shape, you can cast spells in Beast form, except for any spell that has a Material component with a cost specified or that consumes its Material component.",,,druid,18,
druid-epic-boon,5.5e,SRD,Epic Boon,,"You gain an Epic Boon feat (see ""Feats"") or another feat of your choice for which you qualify. Boon of Dimensional Travel is recommended.",,,druid,19,
druid-archdruid,5.5e,SRD,Archdruid,,"The vitality of nature constantly blooms within you, granting you the following benefits.
_Evergreen Wild Shape._ Whenever you roll Initiative and have no uses of Wild Shape left, you regain one expended use of it.
_Nature Magician._ You can convert uses of Wild Shape into a spell slot (no action required). Choose a number of your unexpended uses of Wild Shape and convert them into a single spell slot, with each use contributing 2 spell levels. For example, if you convert two uses of Wild Shape, you produce a level 4 spell slot. Once you use this benefit, you can't do so again until you finish a Long Rest.
_Longevity._ The primal magic that you wield causes you to age more slowly. For every ten years that pass, your body ages only one year.",,,druid,20,
fighter-fighting-style,5.5e,SRD,Fighting Style,,"You have honed your martial prowess and gain a Fighting Style feat of your choice (see ""Feats""). Defense is recommended.
Whenever you gain a Fighter level, you can replace the feat you chose with a different Fighting Style feat.",,,fighter,1,
fighter-second-wind,5.5e,SRD,Second Wind,,"You have a limited well of physical and mental stamina that you can draw on. As a Bonus Action, you can use it to regain Hit Points equal to 1d10 plus your Fighter level.
You can use this feature twice. You regain one expended use when you finish a Short Rest, and you regain all expended uses when you finish a Long Rest.
When you reach certain Fighter levels, you gain more uses of this feature, as shown in the Second Wind column of the Fighter Features table.",,,fighter,1,
fighter-weapon-mastery,5.5e,SRD,Weapon Mastery,,"Your training with weapons allows you to use the mastery properties of three kinds of Simple or Martial weapons of your choice. Whenever you finish a Long Rest, you can practice weapon drills and change one of those weapon choices.
When you reach certain Fighter levels, you gain the ability to use the mastery properties of more kinds of weapons, as shown in the Weapon Mastery column of the Fighter Features table.",,,fighter,1,
fighter-action-surge,5.5e,SRD,Action Surge,,"You can push yourself beyond your normal limits for a moment. On your turn, you can take one additional action, except the Magic action.
Once you use this feature, you can't do so again until you finish a Short or Long Rest. Starting at level 17, you can use it twice before a rest but only once on a turn.",,,fighter,2,
fighter-tactical-mind,5.5e,SRD,Tactical Mind,,"You have a mind for tactics on and off the battlefield. When you fail an ability check, you can expend a use of your Second Wind to push yourself toward success. Rather than regaining Hit Points, you roll 1d10 and add the number rolled to the ability check, potentially turning it into a success. If the check still fails, this use of Second Wind isn't expended.",,,fighter,2,
fighter-fighter-subclass,5.5e,SRD,Fighter Subclass,,"You gain a Fighter subclass of your choice. The Champion subclass is detailed after this class's description. A subclass is a specialization that grants you features at certain Fighter levels. For the rest of your career, you gain each of your subclass's features that are of your Fighter level or lower.",,,fighter,3,
fighter-ability-score-improvement,5.5e,SRD,Ability Score Improvement,,"You gain the Ability Score Improvement feat (see ""Feats"") or another feat of your choice for which you qualify. You gain this feature again at Fighter levels 6, 8, 12, 14, and 16.",,,fighter,4,
fighter-extra-attack,5.5e,SRD,Extra Attack,,You can attack twice instead of once whenever you take the Attack action on your turn.,,,fighter,5,
fighter-tactical-shift,5.5e,SRD,Tactical Shift,,"Whenever you activate your Second Wind with a Bonus Action, you can move up to half your Speed without provoking Opportunity Attacks.",,,fighter,5,
fighter-indomitable,5.5e,SRD,Indomitable,,"If you fail a saving throw, you can reroll it with a bonus equal to your Fighter level. You must use the new roll, and you can't use this feature again until you finish a Long Rest.
You can use this feature twice before a Long Rest starting at level 13 and three times before a Long Rest starting at level 17.",,,fighter,9,
fighter-tactical-master,5.5e,SRD,Tactical Master,,"When you attack with a weapon whose mastery property you can use, you can replace that property with the Push, Sap, or Slow property for that attack.",,,fighter,9,
fighter-two-extra-attacks,5.5e,SRD,Two Extra Attacks,,You can attack three times instead of once whenever you take the Attack action on your turn.,,,fighter,11,
fighter-studied-attacks,5.5e,SRD,Studied Attacks,,"You study your opponents and learn from each attack you make. If you make an attack roll against a creature and miss, you have Advantage on your next attack roll against that creature before the end of your next turn.",,,fighter,13,
fighter-epic-boon,5.5e,SRD,Epic Boon,,"You gain an Epic Boon feat (see ""Feats"") or another feat of your choice for which you qualify. Boon of Combat Prowess is recommended.",,,fighter,19,
fighter-three-extra-attacks,5.5e,SRD,Three Extra Attacks,,You can attack four times instead of once whenever you take the Attack action on your turn.,,,fighter,20,
